Country,Category,Description,Units,Year,Month,Quantity,Value,M2
Bangladesh,200,"Kg YARN FOR RETAIL SALE,SEWING THREAD",KG,2025,4,28,1705,185
Bangladesh,200,"Kg YARN FOR RETAIL SALE,SEWING THREAD",KG,2025,6,26,1080,172
Bangladesh,201,Kg SPECIALTY YARNS,KG,2025,2,7,310,46
Bangladesh,222,Kg KNIT FABRIC,KG,2025,1,1061,5781,13050
Bangladesh,222,Kg KNIT FABRIC,KG,2025,3,1061,5781,13050
Bangladesh,222,Kg KNIT FABRIC,KG,2025,6,626,1025,7700
Bangladesh,223,Kg NON-WOVEN FABRICS,KG,2025,1,43968,104813,615552
Bangladesh,223,Kg NON-WOVEN FABRICS,KG,2025,2,10986,26052,153804
Bangladesh,223,Kg NON-WOVEN FABRICS,KG,2025,3,22801,89005,319214
Bangladesh,223,Kg NON-WOVEN FABRICS,KG,2025,4,11570,33506,161980
Bangladesh,223,Kg NON-WOVEN FABRICS,KG,2025,5,21701,36158,303814
Bangladesh,223,Kg NON-WOVEN FABRICS,KG,2025,6,10623,24268,148722
Bangladesh,224,M2 PILE & TUFTED FABRICS,M2,2025,5,90,278,90
Bangladesh,225,M2 BLUE DENIM FABRIC,M2,2025,4,2309,17250,2309
Bangladesh,229,Kg SPECIAL PURPOSE FABRIC,KG,2025,1,71166,279854,967858
Bangladesh,229,Kg SPECIAL PURPOSE FABRIC,KG,2025,2,90619,374215,1232418
Bangladesh,229,Kg SPECIAL PURPOSE FABRIC,KG,2025,3,109611,445816,1490710
Bangladesh,229,Kg SPECIAL PURPOSE FABRIC,KG,2025,4,98401,390790,1338254
Bangladesh,229,Kg SPECIAL PURPOSE FABRIC,KG,2025,5,84261,340953,1145950
Bangladesh,229,Kg SPECIAL PURPOSE FABRIC,KG,2025,6,86103,368992,1171001
Bangladesh,237,"DOZ PLAYSUITS, SUNSUITS, ETC",DOZ,2025,1,78421,3885954,1505683
Bangladesh,237,"DOZ PLAYSUITS, SUNSUITS, ETC",DOZ,2025,2,67288,2604633,1291930
Bangladesh,237,"DOZ PLAYSUITS, SUNSUITS, ETC",DOZ,2025,3,71678,2837566,1376218
Bangladesh,237,"DOZ PLAYSUITS, SUNSUITS, ETC",DOZ,2025,4,47411,2395293,910291
Bangladesh,237,"DOZ PLAYSUITS, SUNSUITS, ETC",DOZ,2025,5,49297,2117119,946502
Bangladesh,237,"DOZ PLAYSUITS, SUNSUITS, ETC",DOZ,2025,6,38373,1805934,736762
Bangladesh,239,Kg BABIES' GARM. & CLOTH. ACCESS.,KG,2025,1,1508107,26665874,9501074
Bangladesh,239,Kg BABIES' GARM. & CLOTH. ACCESS.,KG,2025,2,1114915,19883837,7023965
Bangladesh,239,Kg BABIES' GARM. & CLOTH. ACCESS.,KG,2025,3,1126516,19312726,7097051
Bangladesh,239,Kg BABIES' GARM. & CLOTH. ACCESS.,KG,2025,4,900360,15312046,5672268
Bangladesh,239,Kg BABIES' GARM. & CLOTH. ACCESS.,KG,2025,5,1060454,17334237,6680860
Bangladesh,239,Kg BABIES' GARM. & CLOTH. ACCESS.,KG,2025,6,1739131,30871057,10956525
Bangladesh,313,M2 COTTON SHEETING FABRIC,M2,2025,1,17280,20753,17280
Bangladesh,313,M2 COTTON SHEETING FABRIC,M2,2025,2,2160,2582,2160
Bangladesh,313,M2 COTTON SHEETING FABRIC,M2,2025,4,1080,1267,1080
Bangladesh,313,M2 COTTON SHEETING FABRIC,M2,2025,5,2160,2508,2160
Bangladesh,313,M2 COTTON SHEETING FABRIC,M2,2025,6,7560,9014,7560
Bangladesh,317,M2 COTTON TWILL FABRIC,M2,2025,2,13358,4030,13358
Bangladesh,326,M2 COTTON SATEEN FABRIC,M2,2025,3,2750,18500,2750
Bangladesh,330,Doz COTTON HANDKERCHIEFS,DOZ,2025,1,333,4000,466
Bangladesh,330,Doz COTTON HANDKERCHIEFS,DOZ,2025,3,333,4000,466
Bangladesh,330,Doz COTTON HANDKERCHIEFS,DOZ,2025,4,24,616,34
